ID,State,Abbrev,Rich,Poor,Depressed
1,Alabama,AL,0.6,2,21.3
2,Alaska,AK,2.8,1.1,15.6
4,Arizona,AZ,1.5,2.4,18.7
5,Arkansas,AR,0.8,2,21.5
6,California,CA,3.8,1.8,13.3
8,Colorado,CO,1.7,1.2,17
9,Connecticut,CT,3,1.1,18.3
10,Delaware,DE,2,1.1,18.3
11,District of Columbia,DC,8.4,1.1,18.1
12,Florida,FL,1.5,2.3,16.2
13,Georgia,GA,1.4,1.8,18.3
15,Hawaii,HI,2.2,1.6,10.7
16,Idaho,ID,1.2,1.8,19.5
17,Illinois,IL,1.8,1.3,16.7
18,Indiana,IN,0.8,1.4,20.7
19,Iowa,IA,0.9,1.2,18.7
20,Kansas,KS,0.9,1.5,18.6
21,Kentucky,KY,0.8,2.5,23.9
22,Louisiana,LA,1.2,2.2,18.7
23,Maine,ME,1.4,1.2,23.7
24,Maryland,MD,2.3,1.1,15.9
25,Massachusetts,MA,3,1.2,21.7
26,Michigan,MI,1,1.7,20.5
27,Minnesota,MN,1.3,0.9,18.2
28,Mississippi,MS,0.6,2,19.9
29,Missouri,MO,1,1.5,21.7
30,Montana,MT,0.9,1.4,20.4
31,Nebraska,NE,0.9,1.2,17.7
32,Nevada,NV,1.5,2.1,15.6
33,New Hampshire,NH,1.8,0.8,21
34,New Jersey,NJ,3.2,1.3,13.4
35,New Mexico,NM,1,3,21.1
36,New York,NY,3.4,1.8,15.9
37,North Carolina,NC,1.1,1.8,19
38,North Dakota,ND,1.5,1.1,17.3
39,Ohio,OH,1,1.5,20.9
40,Oklahoma,OK,1,1.6,21.8
41,Oregon,OR,1.2,1.7,24
42,Pennsylvania,PA,1.4,1.4,19.7
44,Rhode Island,RI,2.7,1.2,20.6
45,South Carolina,SC,0.9,1.6,19.9
46,South Dakota,SD,0.9,1.3,16.6
47,Tennessee,TN,0.9,2,21.4
48,Texas,TX,2.1,1.9,14.6
49,Utah,UT,1.4,1.5,20.7
50,Vermont,VT,1.2,1.2,21.8
51,Virginia,VA,2.7,1.1,17.4
53,Washington,WA,2.2,1.4,21.6
54,West Virginia,WV,0.5,2.2,23.6
55,Wisconsin,WI,0.8,1.1,17
56,Wyoming,WY,1,1.2,19
72,Puerto Rico,PR,0.3,13.3,18.5
